Frequency,Magnitude
10000,502610.56573906186
10500,502607.66258908337
11000,502604.6178166134
11500,502601.4314208789
12000,502598.1034010691
12500,502594.6337563374
13000,502591.02248580114
13500,502587.2695885421
14000,502583.3750636055
14500,502579.3389100005
15000,502575.16112670023
15500,502570.84171264246
16000,502566.3806667269
16500,502561.77798781893
17000,502557.03367474716
17500,502552.1477263038
18000,502547.1201412453
18500,502541.95091829204
19000,502536.6400561276
19500,502531.1875533997
20000,502525.59340872045
21000,502513.98018777143
22000,502501.8003814477
23000,502489.05397733685
24000,502475.7409624455
25000,502461.86132319923
26000,502447.41504544247
27000,502432.40211443667
28000,502416.82251486136
29000,502400.676230813
30000,502383.9632458034
31000,502366.6835427612
32000,502348.8371040299
33500,502321.0047764501
35000,502291.89718834625
37000,502251.103216028
38500,502219.019754282
40000,502185.6607970474
41500,502151.02626736637
43000,502115.1160852849
45000,502065.25135051855
47000,502013.1184364856
48500,501972.5301296493
50000,501930.66575751005
52000,501872.86143601825
54000,501812.7881426824
56000,501750.4456294411
58000,501685.83363857574
60000,501618.95190268004
62500,501532.1574807547
65000,501441.8155858159
67500,501347.92563128454
70000,501250.4870065898
72500,501149.4990770752
75000,501044.9611838962
80000,500825.23274966015
82500,500710.04076911235
85000,500591.2959457252
87500,500468.9974982728
90000,500343.14462076826
92500,500213.7364823724
97500,499944.25097476423
100000,499804.17181883357
105000,499513.3360471525
110000,499208.25715994695
115000,498888.9269986622
120000,498555.33699674683
125000,498207.47817832546
130000,497845.3411573607
135000,497468.91613737214
140000,497078.19291178783
145000,496673.1608649826
150000,496253.80897409096
155000,495820.1258116554
160000,495372.0995491862
165000,494909.7179617087
170000,494432.9684333712
175000,493941.8379641886
180000,493436.3131779983
185000,492916.3803317021
190000,492382.02532587375
195000,491833.23371680226
200000,491269.99073005305
210000,490100.089964697
220000,488872.1988375285
230000,487586.18901320844
240000,486241.92875662737
250000,484839.28380463045
260000,483378.11837413796
270000,481858.2963139193
280000,480279.6824064425
290000,478642.14382527396
300000,476945.5517524147
310000,475189.78315873956
320000,473374.72274936637
335000,470540.73255746235
350000,467572.799161074
370000,463406.8291443975
385000,460125.6761805888
400000,456710.2710148006
415000,453160.8163527371
430000,449477.69454979396
450000,444359.98759884265
470000,439007.767631822
485000,434841.4057894799
500000,430546.29836410313
520000,424622.5284221697
540000,418478.70967908856
560000,412121.45113939827
580000,405558.5956846378
600000,398799.2617348943
625000,390089.7804177737
650000,381112.8108172936
675000,371894.50441580586
700000,362463.7838298071
725000,352852.00505569985
750000,343092.5261034342
800000,323270.8056704209
825000,313280.4655477257
850000,303285.0354995963
875000,293319.53253051563
900000,283417.59875372646
925000,273611.0284640696
975000,254399.6186504984
1000000,245045.98123097722
1050000,226949.23598019136
1100000,209773.90336550228
1150000,193609.0772758804
1200000,178502.8194593637
1250000,164468.67441851491
1300000,151492.84609112024
1350000,139541.15475729614
1400000,128565.2349585885
1450000,118507.72001949261
1500000,109306.36129345608
1550000,100897.15444631141
1600000,93216.60784524308
1650000,86203.30888942443
1700000,79798.93963107525
1750000,73948.87559410173
1800000,68602.47935183445
1850000,63713.17789397642
1900000,59238.39250644589
1950000,55139.37276710845
2000000,51380.972458400494
2100000,44761.92324745071
2200000,39162.256224055076
2300000,34404.00218811321
2400000,30342.70185424122
2500000,26860.996089137483
2600000,23863.331607980763
2700000,21271.66922384913
2800000,19022.04136413236
2900000,17061.80595621774
3000000,15347.460728417112
3100000,13842.90371573498
3200000,12518.04700112203
3350000,10813.735726551353
3500000,9389.251154180698
3700000,7834.568158853543
3850000,6874.722454673216
4000000,6056.812506864956
4150000,5356.365660912447
4300000,4753.705280312676
4500000,4075.179062879624
4700000,3512.6440743153585
4850000,3152.842303001356
5000000,2837.5382779848737
5200000,2475.404258219416
5400000,2168.68252023123
5600000,1907.5424177278248
5800000,1684.1280423210135
6000000,1492.1169947268622
6250000,1288.554202887035
6500000,1118.1467145039232
6750000,974.6602585025978
7000000,853.1823082055955
7250000,749.8115535844029
7500000,661.4271423123284
8000000,520.0393363150303
8250000,463.33727828819104
8500000,414.0470416348402
8750000,371.0455430234948
9000000,333.4022492344324
9250000,300.3424847540355
9750000,245.4859062782883
10000000,222.68613082388367
10500000,184.38924518368017
11000000,153.86356944767573
11500000,129.30651099314466
12000000,109.38237924409395
12500000,93.08967430054786
13000000,79.6692254345976
13500000,68.53970258927667
14000000,59.251750379763344
14500000,51.454970225667005
15000000,44.87388272944118
15500000,39.29024323892006
16000000,34.52990309551013
16500000,30.452957864252976
17000000,26.946296059233756
17500000,23.917917375905713
18000000,21.29256680503176
18500000,19.008355435378277
19000000,17.01412692512657
19500000,15.267391692454302
20000000,13.732696394187162
21000000,11.185287204417085
22000000,9.18588703617124
23000000,7.600854160053925
24000000,6.332793328776164
25000000,5.309792124760309
26000000,4.478112954098263
27000000,3.79715343234015
28000000,3.235920826175574
29000000,2.7705327292906845
30000000,2.382423305790148
31000000,2.0570410947772815
32000000,1.7828935260509975
33500000,1.4482490631975662
35000000,1.1851464119576578
37000000,0.9167003471543871
38500000,0.7615405002966622
40000000,0.6362396440532672
41500000,0.534368054807857
43000000,0.45102531705276394
45000000,0.3623371786538964
47000000,0.2932973401169872
48500000,0.2514544249925266
50000000,0.2163837575727461
52000000,0.1780782862154051
54000000,0.1474132779545194
56000000,0.12269881657824735
58000000,0.10265445013157894
60000000,0.0863015581269306
62500000,0.06991964041327689
65000000,0.05702640301643636
67500000,0.046801961837984914
70000000,0.03863645209416217
72500000,0.03207195405960596
75000000,0.026761618976397162
80000000,0.018904994490846684
82500000,0.015996899686345618
85000000,0.013593010183296056
87500000,0.011596507077617226
90000000,0.009930890448683496
92500000,0.00853536668625776
97500000,0.006369851245750794
100000000,0.005529348503342187
105000000,0.004203922245617375
