Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0402_1005Metric",115.000000,-140.570000,-90.000000,top
"C2","0.1uF","C_0402_1005Metric",120.800000,-138.850000,0.000000,top
"C3","2.7p","C_0402_1005Metric",118.000000,-124.600000,0.000000,top
"C4","0.1uF","C_0402_1005Metric",116.500000,-140.200000,0.000000,top
"C5","15p","C_0402_1005Metric",115.700000,-125.900000,180.000000,top
"C6","15p","C_0402_1005Metric",117.000000,-128.400000,180.000000,top
"C7","33p","C_0402_1005Metric",113.620000,-124.600000,180.000000,top
"C8","33p","C_0402_1005Metric",114.200000,-128.400000,180.000000,top
"C14","22n","C_0402_1005Metric",136.560000,-124.140000,0.000000,top
"C15","15p","C_0402_1005Metric",128.600000,-135.350000,0.000000,top
"C16","15p","C_0402_1005Metric",126.400000,-135.350000,180.000000,top
"C17","10u","C_0805_2012Metric",121.800000,-154.050000,90.000000,top
"C18","10u","C_0805_2012Metric",117.000000,-157.650000,-90.000000,top
"C19","100n","C_0402_1005Metric",121.600000,-148.550000,180.000000,top
"C20","10n","C_0402_1005Metric",111.700000,-120.300000,90.000000,top
"C21","100n","C_0402_1005Metric",125.400000,-137.580000,90.000000,top
"C22","100n","C_0402_1005Metric",128.700000,-150.850000,-90.000000,top
"C23","1u","C_0402_1005Metric",124.250000,-149.300000,-90.000000,top
"C24","100n","C_0402_1005Metric",132.700000,-147.050000,0.000000,top
"C25","1u","C_0402_1005Metric",123.075000,-149.250000,-90.000000,top
"C26","100n","C_0402_1005Metric",130.000000,-153.050000,90.000000,top
"C27","100n","C_0402_1005Metric",127.675000,-150.875000,-90.000000,top
"C28","100n","C_0402_1005Metric",126.500000,-137.560000,90.000000,top
"C29","100n","C_0402_1005Metric",133.300000,-142.750000,0.000000,top
"C30","100n","C_0402_1005Metric",120.200000,-141.750000,-90.000000,top
"C31","100n","C_0402_1005Metric",122.175000,-147.500000,180.000000,top
"C32","10u","C_0805_2012Metric",136.600000,-147.350000,0.000000,top
"C33","4.7uF","CP_EIA-2012-12_Kemet-R_HandSolder",109.000000,-120.300000,180.000000,top
"C34","100p","C_0402_1005Metric",113.920000,-135.200000,180.000000,top
"C35","0.1uF","C_0402_1005Metric",120.400000,-133.800000,90.000000,top
"C36","4.7uF","CP_EIA-2012-12_Kemet-R_HandSolder",121.200000,-115.477500,-90.000000,top
"C37","0.1uF","C_0402_1005Metric",121.200000,-118.100000,0.000000,top
"D1","BPW34-SMD","Osram_BPW34S-SMD",116.100000,-115.900000,180.000000,top
"D2","LED","LED_0805_2012Metric",133.997500,-116.040000,0.000000,top
"D3","LED","LED_0603_1608Metric",136.902500,-138.750000,180.000000,top
"D4","LED","LED_0603_1608Metric",140.187500,-135.550000,180.000000,top
"D5","LED","LED_0603_1608Metric",119.380000,-158.075000,90.000000,top
"J1","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",136.900000,-157.650000,-90.000000,top
"J2","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",126.280000,-162.475000,0.000000,top
"J3","Conn_01x19","PinHeader_1x19_P2.54mm_Vertical",150.370000,-108.510000,0.000000,top
"J4","Conn_01x19","PinHeader_1x19_P2.54mm_Vertical",101.800000,-154.300000,180.000000,top
"N-MOS1","~","SOT-23",135.597500,-119.140000,180.000000,top
"R1","20k","R_0402_1005Metric",118.000000,-125.900000,0.000000,top
"R2","8.2k","R_0402_1005Metric",118.000000,-127.200000,180.000000,top
"R3","8.2k","R_0402_1005Metric",115.700000,-124.600000,0.000000,top
"R4","33k","R_0402_1005Metric",115.700000,-127.200000,180.000000,top
"R5","7.5k","R_0402_1005Metric",118.300000,-135.165000,180.000000,top
"R6","6.8k","R_0402_1005Metric",116.090000,-135.165000,0.000000,top
"R8","27k","R_0402_1005Metric",113.700000,-126.500000,90.000000,top
"R13","39","R_0402_1005Metric",132.860000,-118.440000,90.000000,top
"R14","10","R_0402_1005Metric",134.460000,-124.140000,0.000000,top
"R15","75k","R_0402_1005Metric",138.160000,-119.540000,-90.000000,top
"R16","1k","R_0402_1005Metric",137.000000,-155.250000,0.000000,top
"R17","DNF","R_0402_1005Metric",134.900000,-155.250000,0.000000,top
"R18","1k","R_0402_1005Metric",127.700000,-137.830000,90.000000,top
"R19","27","R_0402_1005Metric",126.575000,-149.850000,90.000000,top
"R20","27","R_0402_1005Metric",125.475000,-149.850000,90.000000,top
"R21","5.1k","R_0402_1005Metric",124.380000,-157.075000,180.000000,top
"R22","5.1k","R_0402_1005Metric",127.490000,-157.075000,180.000000,top
"R23","220k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",110.300000,-126.600000,180.000000,top
"R24","220k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",110.300000,-128.700000,0.000000,top
"R25","RSHUNT_BACKUP","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",110.300000,-124.500000,0.000000,top
"R26","RSHUNT_BACKUP","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",110.300000,-122.400000,180.000000,top
"R27","220","R_0402_1005Metric",133.350000,-120.340000,180.000000,top
"R28","470","R_0402_1005Metric",136.390000,-140.150000,180.000000,top
"R29","1.6M","R_0805_2012Metric",110.300000,-118.200000,0.000000,top
"R30","470","R_0402_1005Metric",139.600000,-136.950000,180.000000,top
"R31","1k","R_0402_1005Metric",121.980000,-157.075000,0.000000,top
"U1","AD8656","SOIC-8_3.9x4.9mm_P1.27mm",116.025000,-131.765000,180.000000,top
"U2","PGA112","TSSOP-10_3x3mm_P0.5mm",116.650000,-137.700000,0.000000,top
"U3","AD8655","SOIC-8_3.9x4.9mm_P1.27mm",116.025000,-121.100000,0.000000,top
"U5","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",117.050000,-151.400000,90.000000,top
"U6","W25Q128JVS","SOIC-8_5.3x5.3mm_P1.27mm",135.387500,-151.630000,180.000000,top
"U7","RP2040","RP2040-QFN-56",127.362500,-144.025000,180.000000,top
"Y1","ABM8-272-T3","Crystal_SMD_3225-4Pin_3.2x2.5mm",127.500000,-132.900000,180.000000,top
