"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J4,J3";"PinHeader_1x19_P2.54mm_Vertical";2;"Conn_01x19";;;
2;"C6,C5,C15,C16";"C_0402_1005Metric";4;"15p";;;
3;"C37,C4,C1,C35,C2";"C_0402_1005Metric";5;"0.1uF";;;
4;"C18,C17,C32";"C_0805_2012Metric";3;"10u";;;
5;"R6";"R_0402_1005Metric";1;"6.8k";;;
6;"U5";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
7;"D3,D4,D5";"LED_0603_1608Metric";3;"LED";;;
8;"U6";"SOIC-8_5.3x5.3mm_P1.27mm";1;"W25Q128JVS";;;
9;"R27";"R_0402_1005Metric";1;"220";;;
10;"C27,C31,C26,C30,C22,C19,C21,C24,C28,C29";"C_0402_1005Metric";10;"100n";;;
11;"R14";"R_0402_1005Metric";1;"10";;;
12;"R15";"R_0402_1005Metric";1;"75k";;;
13;"U7";"RP2040-QFN-56";1;"RP2040";;;
14;"R22,R21";"R_0402_1005Metric";2;"5.1k";;;
15;"TP1,TP2,TP5,TP7,TP6,TP4";"TestPoint_Pad_D2.0mm";6;"TestPoint";;;
16;"C25,C23";"C_0402_1005Metric";2;"1u";;;
17;"R16,R31,R18";"R_0402_1005Metric";3;"1k";;;
18;"C8,C7";"C_0402_1005Metric";2;"33p";;;
19;"C20";"C_0402_1005Metric";1;"10n";;;
20;"R4";"R_0402_1005Metric";1;"33k";;;
21;"R5";"R_0402_1005Metric";1;"7.5k";;;
22;"J2";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_16P";;;
23;"R29";"R_0805_2012Metric";1;"1.6M";;;
24;"H4,H2,H3,H1";"MountingHole_2.7mm_M2.5";4;"MountingHole";;;
25;"R13";"R_0402_1005Metric";1;"40";;;
26;"C34";"C_0402_1005Metric";1;"100p";;;
27;"D2";"LED_0805_2012Metric";1;"LED";;;
28;"C3";"C_0402_1005Metric";1;"2.7p";;;
29;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"AD8655";;;
30;"D1";"Osram_BPW34S-SMD";1;"BPW34-SMD";;;
31;"R2,R3";"R_0402_1005Metric";2;"8.2k";;;
32;"R1";"R_0402_1005Metric";1;"20k";;;
33;"C36,C33";"CP_EIA-2012-12_Kemet-R_HandSolder";2;"4.7uF";;;
34;"R23,R24";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"220k";;;
35;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"ABM8-272-T3";;;
36;"R19,R20";"R_0402_1005Metric";2;"27";;;
37;"R30,R28";"R_0402_1005Metric";2;"470";;;
38;"C14";"C_0402_1005Metric";1;"22n";;;
39;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
40;"U2";"TSSOP-10_3x3mm_P0.5mm";1;"PGA112";;;
41;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"AD8656";;;
42;"R8";"R_0402_1005Metric";1;"27k";;;
43;"N-MOS1";"SOT-23";1;"~";;;
